Bio,Label,Year,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kathryn S. McKinley is a Principal Researcher at Microsoft. She was previously an Endowed Professor of Computer Science at The University of Texas at Austin. She received her BA, MS, and PhD from Rice University. Her research interests span programming languages, compilers, runtime systems, architecture, performance, and energy. She and her collaborators have produced several widely used tools: DaCapo Java Benchmarks, TRIPS Compiler, Hoard memory manager, MMTk memory management toolkit, and Immix garbage collector. She has graduated 21 PhD students. Her awards include the ACM SIGPLAN Programming Languages Software Award; ACM SIGPLAN Distinguished Service Award; and Best & Test of time awards from ASPLOS, OOPSLA, ICS, SIGMETRICS, IEEE Top Picks, SIGPLAN Research Highlights, and CACM Research Highlights. She served as program chair for ASPLOS, PACT, PLDI, ISMM, and CGO. She is currently a CRA and CRA-W Board member. Dr. McKinley was honored to testify to the House Science Committee (Feb. 14, 2013). She and her husband have three sons. She is an IEEE and ACM Fellow.",F,2016,Kathryn S McKinley,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr Larry Persons PhD is on the Faculty at Sasin Graduate Institute of Business Administration of Chulalongkorn University, Thailand and he is owner and CE of, CQ Leadership Consulting, a company offering cross-cultural and leadership consulting, coaching and short courses at academic institutions, together with seminars for organizations and businesses. Larry is a multi-cultural, bilingual expert helping organizational leaders in Thailand successfully navigate between cultures to maximize performance, productivity and financial results. Born and raised in Thailand Larry is received by Thais as a highly acceptable outsider due to strong command of the Thai language and his worldview. He is author of a groundbreaking book on face as social capital for leadership in Thai society: The Way Thais Lead: Face as Social Capital, (Silkworm Books). His particular areas of interest include teaching leaders to increase their cultural intelligence in a globalized world; Developing human resources through coaching and the Design and implementation of new organizational training programs.",M,2018,Larry Persons,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr Arthur Shelley is an independent educator and capability development consultant with over 30 years professional experience. He has held a variety of professional roles including managing international projects in Australia, Europe, Asia and USA. He has facilitated commercial workshops in many countries across Asia, Europe, Americas and the Middle East and supervises PhD students in 5 countries. He leads Masters programs on Leadership, Executive Consulting, Knowledge Management, Applied Research Practice, Entrepreneurship, Career Development in face to face and blended modes and through Open Universities Australia. Arthur is the author three books: KNOWledge SUCCESSion, Being a Successful Knowledge Leader and The Organizational Zoo. He has also written chapters for edited books, articles for academic and professional journals and has a regular blog providing insights from his research about metaphor and behaviour. In 2014 he was awarded with an Australian Office of Learning and Teaching citation for “Outstanding contributions to student learning outcomes.”",M,2018,Arthur Shelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shane McCarthy Shane is the CEO of BlueChief, a leading social media & content marketing agency. A guest lecturer on social media advertising & strategy in UL and founder of the Social Savvy conference. Shane is a social media strategist who handles the online marketing strategies for some of Ireland's leading companies and consults with some of Ireland’s most progressive Higher Education Institutions. His focus is brand awareness, social infrastructure, lead generation & online advertising.",M,2018,Shane McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stephen O’Leary is managing director at Olytico, Ireland’s leading social media monitoring and analysis company. As well as an Irish and international client list, research and analysis carried out by Olytico has been used by major national and international broadcasters including RTE, TV3, BBC and The Washington Post. Stephen is a World Economic Forum Young Global Shaper, serves on the Board of Dublin Chamber of Commerce, the Millennial Board of New Ireland Assurance, and the Board of Anu Productions. He is a highly regarded conference speaker having addressed audiences at events including the Sport and New Media Conference in Paris, the Dublin Web Summit, DMX, and The Dublin Tech Summit. Stephen is a Fellow of Griffith College Dublin, where he lectures in Online Journalism.",M,2018,Stephen O’Leary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olav Lysne is a director of Simula Metropolitan, and professor of Communication Systems at the University of Oslo. He holds a PhD in Computer Science from the University of Oslo, and his experience in research, education, management and innovation reaches back to 1989. He is author of the book “The Huawei and Snowden Questions”, that debates the consequences of our limited ability to verify electronic equipment from potentially untrusted vendors. Olav was the leader of a National Commission that assessed whether the Norwegian Secret Service (Etterretningstjenesten) should be allowed to do lawful interception of Internet-traffic crossing the national borders of Norway (Lysne II utvalget). The commission started its work in January 2016, and handed over its report to the Norwegian Minister of Defence in August 2016. He was also leader of the National Commission for Digital Vulnerability formed by the Norwegian government (Lysne I utvalget), which had a mandate to write a report that forms the basis for the Norwegian Government's cyber-policy. Since 2010 Olafv has been working on developing methods for measuring the resilience of Mobile Broadband Networks. So far, this work has resulted in the formation of a nationwide monitoring system of mobile broadband in Norway, funded directly by the Norwegian government. During 2015-2018 the system will be extended to four other European countries through the EU project MONROE.",M,2018,Olav Lysne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wallace Chigona is a Professor in Information Systems at the University of Cape Town, South Africa. His research focuses on the use of ICTs for human development and ICT policy. He has researched on the use and impact of ICTs amongst the disadvantaged communities in different African Countries. Prof Chigona is currently on the editorial boards of Electronic Journal of Information Systems in Developing Countries (EJISDC) as well as on the African Journal of Information Systems. Prof Chigona is rated as an Established Researcher by the South African National Research Foundation (NRF). He has collaborated on research projects with international scholars from Tanzania, Malawi, United Kingdom, Switzerland and other South African universities. Prof Chigona is currently a member of (i) UNESCO/Netexplo Advisory Board; (ii) the Communication Policy Research for Global South.",M,2018,Wallace Chigona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr Johannes Cronjé is the Dean of Informatics and Design at the Cape Peninsula University of Technology. He was born in Davenport Iowa in 1959 when his parents were there doing more than just studying. At the age of eight months he persuaded his parents to return to South Africa where he attended an die Laerskool Anton van Wouw and then Pretoria Boys High School where he matriculated in 1976. Following this he enrolled at the University of Pretoria where he obtained the BA majoring in Afrikaans, English and Anthropology, the BA honours as well as a Teachers' diploma before reporting for military service at the Infantry School, Oudtshoorn. During his second year of national service he completed an MA in Afrikaans literature while serving on the Angolan border. He then taught English and Afrikaans at Pretoria Boys High until 1986 when he was appointed lecturer in Language Communication at Technikon Pretoria. He obtained a Doctorate in Afrikaans Literature in 1990 and then a Masters Degree in Computer-Assisted Education from the University of Pretoria. From 1994 to 2007 he was a professor of computers in education with the University of Pretoria. He has also been visiting professor at Sudan University of Science and Technology, Addis Ababa University, Ethiopia; the University of Joensuu, Finland, and the University of Bergen, Norway, The Katholieke Universiteit of Leuven, Belgium, The University of Namibia and the University of the Free State, South Africa. He has supervised or co-supervised 72 Masters and 55 Doctoral students and published more than 42 research papers.",M,2018,Dr Johannes Cronjé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prof Susan Geertshuis is the Director of Learning and Teaching and Professor of Lifelong Learning at the University of Auckland Business School, New Zealand. Previously she held positions of Professor of Organisational Studies, Director of the Centre for Learning and Innovation and Director of the Centre for Learning Research across a number of universities in the UK. She has led national and international research in the field of post compulsory education and corporate learning, attracting over $10,000,000 in funding. She is currently Director of the Maori and Indigenous Business Programme. Susan is a principal Fellow of the Higher Education Academy.",F,2018,Prof Susan Geertshuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheryl Hodgkinson-Williams is an Associate Professor in the Centre for Innovation in Learning and Teaching (CILT) at the University of Cape Town (UCT), South Africa. She holds a PhD in computer-assisted learning and has taught and supervised in the field of information communication technologies (ICTs) in education since 1994, first at the University of Pretoria, then at Rhodes University in Grahamstown and now at UCT. She teaches online learning design and research design on the Educational Technology postgraduate programme and is the Co-ordinator of the Mellon-funded scholarships for this programme. She supervises PhD and Masters students and is a supervisor for the Global OER Graduate Network (GO-GN). Her particular research interests include online learning design, electronic portfolios and the adoption and impact of open educational resources (OER). She is the Principal Investigator of the IDRC-funded Research on OER in the Global South (ROER4D) project. This project includes 18 sub-projects in three regions, South America, Sub-Saharan African and South and Southeast Asia and comprises over a 100 researchers and research associates.",F,2018,Cheryl Hodgkinson-Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
